,FossilGas,APXPrice,Total_RENE,TSDF
2016011036,17483.0,69.6,6257.219,44836.0
2016011037,17570.0,51.62,6200.2880000000005,44360.0
2016011038,17243.0,51.62,6200.2880000000005,43202.0
2016011039,16431.0,35.99,6087.567,42194.0
2016011040,15804.0,35.99,6087.567,40786.0
2016011041,15117.0,33.58,5979.7970000000005,39741.0
2016011042,14293.0,33.58,5979.7970000000005,38034.0
2016011043,12992.0,33.07,5888.803,36718.0
2016011044,11650.0,33.07,5888.803,34585.0
2016011045,10154.0,30.0,5637.632,32905.0
2016011046,8491.0,30.0,5637.632,31161.0
2016011047,7663.0,40.04,5466.349,29057.0
2016011048,7388.0,40.04,5466.349,28179.0
2016011101,6992.0,30.96,5631.471,28484.0
2016011102,7593.0,30.96,5631.471,29276.0
2016011103,8387.0,31.93,5450.295,29770.0
2016011104,8115.0,31.93,5450.295,29566.0
2016011105,8236.0,30.51,5210.915,29364.0
2016011106,8191.0,30.51,5210.915,29362.0
2016011107,7820.0,29.96,5028.629,28874.0
2016011108,7637.0,29.96,5028.629,28411.0
2016011109,7461.0,29.4,4618.686,28145.0
2016011110,8081.0,29.4,4618.686,27852.0
2016011111,8190.0,30.83,4273.785,27962.0
2016011112,9025.0,30.83,4273.785,28737.0
2016011113,9931.0,38.43,4034.1530000000002,31278.0
2016011114,12314.0,38.43,4034.1530000000002,35177.0
2016011115,15706.0,34.98,3825.853,39627.0
2016011116,18800.0,34.98,3825.853,42320.0
2016011117,19462.0,34.97,3668.2470000000003,43101.0
2016011118,19618.0,34.97,3723.2470000000003,43210.0
2016011119,20103.0,34.02,3641.175,44215.0
2016011120,20772.0,34.02,3807.175,44950.0
2016011121,20765.0,35.59,3564.1320000000005,44858.0
2016011122,20843.0,35.59,3788.1320000000005,44679.0
2016011123,20930.0,40.66,3669.0409999999997,44671.0
2016011124,20921.0,40.66,3867.0409999999997,44547.0
2016011125,20917.0,44.34,3628.568,44629.0
2016011126,21213.0,44.34,3699.568,45054.0
2016011127,21172.0,47.8,3621.3599999999997,45090.0
2016011128,20836.0,47.8,3534.3599999999997,45053.0
2016011129,20591.0,40.38,3312.446,45273.0
2016011130,19755.0,40.38,3134.446,45318.0
2016011131,19778.0,33.07,2880.428,45537.0
2016011132,20244.0,33.07,2630.428,46627.0
2016011133,21414.0,40.1,2565.673,48265.0
2016011134,21114.0,40.1,2393.673,50066.0
2016011135,21437.0,80.0,2439.494,50178.0
2016011136,21408.0,80.0,2409.494,49937.0
2016011137,21556.0,53.96,2440.998,49980.0
2016011138,21535.0,53.96,2440.998,49620.0
2016011139,22001.0,47.91,2637.143,48346.0
2016011140,20695.0,47.91,2637.143,47050.0
2016011141,19620.0,38.95,2850.5280000000002,45692.0
2016011142,18903.0,38.95,2850.5280000000002,43677.0
2016011143,17915.0,36.15,3083.04,41667.0
2016011144,16691.0,36.15,3083.04,39074.0
2016011145,14857.0,30.83,3044.4700000000003,36608.0
2016011146,12416.0,30.83,3044.4700000000003,34520.0
2016011147,10753.0,31.0,3329.3379999999997,32182.0
2016011148,9600.0,31.0,3329.3379999999997,30500.0
2016011201,9323.0,32.36,4801.991,31193.0
2016011202,10176.0,32.36,4801.991,31825.0
2016011203,10397.0,44.35,5004.091,32214.0
2016011204,10029.0,44.35,5004.091,30980.0
2016011205,9486.0,30.94,5181.814,30720.0
2016011206,9487.0,30.94,5181.814,30804.0
2016011207,9312.0,29.91,5387.081,30531.0
2016011208,8744.0,29.91,5387.081,29612.0
2016011209,8430.0,18.82,5458.898,29208.0
2016011210,8482.0,18.82,5458.898,29342.0
2016011211,8504.0,24.82,5682.984,29957.0
2016011212,8615.0,24.82,5682.984,30815.0
2016011213,9354.0,37.54,5876.540999999999,32829.0
2016011214,10534.0,37.54,5876.540999999999,35926.0
2016011215,12895.0,38.03,5828.532,40120.0
2016011216,15464.0,38.03,5828.532,42494.0
2016011217,16332.0,37.98,6037.192999999999,43381.0
2016011218,16340.0,37.98,6118.192999999999,43400.0
